"","doy","2012","2013","2015","2016"
"1",1,2437.04302525609,NA,NA,NA
"2",2,2437.04302525609,NA,NA,NA
"3",3,2437.04302525609,NA,NA,NA
"4",4,2437.04302525609,NA,NA,NA
"5",5,2437.04302525609,NA,NA,NA
"6",6,2437.04302525609,NA,NA,NA
"7",7,2437.04302525609,NA,NA,NA
"8",8,2437.04302525609,NA,NA,NA
"9",9,2151.67514531915,NA,2315.32941284329,NA
"10",10,2151.67514531915,NA,2315.32941284329,NA
"11",11,2151.67514531915,NA,2315.32941284329,NA
"12",12,2151.67514531915,NA,2315.32941284329,NA
"13",13,2151.67514531915,NA,2315.32941284329,NA
"14",14,2151.67514531915,NA,2315.32941284329,NA
"15",15,2151.67514531915,NA,2315.32941284329,NA
"16",16,2151.67514531915,NA,2315.32941284329,NA
"17",17,2046.7632637686,1929.50248913844,2126.0201875028,NA
"18",18,2046.7632637686,1929.50248913844,2126.0201875028,NA
"19",19,2046.7632637686,1929.50248913844,2126.0201875028,NA
"20",20,2046.7632637686,1929.50248913844,2126.0201875028,NA
"21",21,2046.7632637686,1929.50248913844,2126.0201875028,NA
"22",22,2046.7632637686,1929.50248913844,2126.0201875028,NA
"23",23,2046.7632637686,1929.50248913844,2126.0201875028,NA
"24",24,2046.7632637686,1929.50248913844,2126.0201875028,NA
"25",25,2256.87480140722,2142.47627242276,2307.91804504632,NA
"26",26,2256.87480140722,2142.47627242276,2307.91804504632,NA
"27",27,2256.87480140722,2142.47627242276,2307.91804504632,NA
"28",28,2256.87480140722,2142.47627242276,2307.91804504632,NA
"29",29,2256.87480140722,2142.47627242276,2307.91804504632,NA
"30",30,2256.87480140722,2142.47627242276,2307.91804504632,NA
"31",31,2256.87480140722,2142.47627242276,2307.91804504632,NA
"32",32,2256.87480140722,2142.47627242276,2307.91804504632,NA
"33",33,NA,2437.93981762965,NA,NA
"34",34,NA,2437.93981762965,NA,NA
"35",35,NA,2437.93981762965,NA,NA
"36",36,NA,2437.93981762965,NA,NA
"37",37,NA,2437.93981762965,NA,NA
"38",38,NA,2437.93981762965,NA,NA
"39",39,NA,2437.93981762965,NA,NA
"40",40,NA,2437.93981762965,NA,NA
"41",41,NA,2460.02838846006,NA,NA
"42",42,NA,2460.02838846006,NA,NA
"43",43,NA,2460.02838846006,NA,NA
"44",44,NA,2460.02838846006,NA,NA
"45",45,NA,2460.02838846006,NA,NA
"46",46,NA,2460.02838846006,NA,NA
"47",47,NA,2460.02838846006,NA,NA
"48",48,NA,2460.02838846006,NA,NA
"49",49,2118.69876763464,2559.71241390847,NA,NA
"50",50,2118.69876763464,2559.71241390847,NA,NA
"51",51,2118.69876763464,2559.71241390847,NA,NA
"52",52,2118.69876763464,2559.71241390847,NA,NA
"53",53,2118.69876763464,2559.71241390847,NA,NA
"54",54,2118.69876763464,2559.71241390847,NA,NA
"55",55,2118.69876763464,2559.71241390847,NA,NA
"56",56,2118.69876763464,2559.71241390847,NA,NA
"57",57,2188.98405069027,NA,1931.98992047002,2389.12026937804
"58",58,2188.98405069027,NA,1931.98992047002,2389.12026937804
"59",59,2188.98405069027,NA,1931.98992047002,2389.12026937804
"60",60,2188.98405069027,NA,1931.98992047002,2389.12026937804
"61",61,2188.98405069027,NA,1931.98992047002,2389.12026937804
"62",62,2188.98405069027,NA,1931.98992047002,2389.12026937804
"63",63,2188.98405069027,NA,1931.98992047002,2389.12026937804
"64",64,2188.98405069027,NA,1931.98992047002,2389.12026937804
"65",65,2193.35973536674,NA,2197.49217028549,2671.67053335277
"66",66,2193.35973536674,NA,2197.49217028549,2671.67053335277
"67",67,2193.35973536674,NA,2197.49217028549,2671.67053335277
"68",68,2193.35973536674,NA,2197.49217028549,2671.67053335277
"69",69,2193.35973536674,NA,2197.49217028549,2671.67053335277
"70",70,2193.35973536674,NA,2197.49217028549,2671.67053335277
"71",71,2193.35973536674,NA,2197.49217028549,2671.67053335277
"72",72,2193.35973536674,NA,2197.49217028549,2671.67053335277
"73",73,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"74",74,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"75",75,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"76",76,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"77",77,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"78",78,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"79",79,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"80",80,2448.6476155048,2421.55781283886,2312.36361141234,3325.7557637199
"81",81,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"82",82,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"83",83,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"84",84,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"85",85,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"86",86,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"87",87,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"88",88,2726.92559874749,2417.36573086871,2336.61389868136,3222.0186089079
"89",89,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"90",90,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"91",91,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"92",92,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"93",93,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"94",94,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"95",95,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"96",96,3011.46374790044,2705.84407473191,2554.21026907605,3369.28491197815
"97",97,3529.91037134905,NA,2779.04422024133,3276.36538539527
"98",98,3529.91037134905,NA,2779.04422024133,3276.36538539527
"99",99,3529.91037134905,NA,2779.04422024133,3276.36538539527
