,GEOID,DOY,lai,lai_smoothed
0,31007,1,0.05396,0.06240531284527301
1,31007,2,,0.060641735283179635
2,31007,3,,0.05943341338614694
3,31007,4,,0.058784236651145766
4,31007,5,,0.058684898042594476
5,31007,6,,0.059113346552845385
6,31007,7,,0.06003551207597186
7,31007,8,,0.06140628241487007
8,31007,9,0.06806799999999999,0.06317070723848185
9,31007,10,,0.06526539939831452
10,31007,11,,0.06762010028432788
11,31007,12,,0.07015937291785884
12,31007,13,,0.07280438429576155
13,31007,14,,0.07547473715062758
14,31007,15,,0.07809031079465989
15,31007,16,,0.08057307106972886
16,31007,17,0.092324,0.0828488106160471
17,31007,18,,0.08484878266256221
18,31007,19,,0.08651119428324375
19,31007,20,,0.08778252848967258
20,31007,21,,0.08861866856299358
21,31007,22,,0.08898580257689852
22,31007,23,,0.08886109102755971
23,31007,24,,0.08823308575842678
24,31007,25,0.051495000000000006,0.08710189383416123
25,31007,26,,0.08547908556237253
26,31007,27,,0.08338735136723055
27,31007,28,,0.08085991757031376
28,31007,29,,0.07793973622009492
29,31007,30,,0.07467846882770654
30,31007,31,,0.07113528811685804
31,31007,32,,0.06737552559432335
32,31007,33,0.055078999999999996,0.06346919582074152
33,31007,34,,0.05948943064951741
34,31007,35,,0.05551085835918057
35,31007,36,,0.05160796350192168
36,31007,37,,0.047853463414632674
37,31007,38,,0.044316736691313224
38,31007,39,,0.04106233751606361
39,31007,40,,0.03814862763856819
40,31007,41,0.052887,0.035626554988433756
41,31007,42,,0.03353860453415111
42,31007,43,,0.03191794307243018
43,31007,44,,0.03078777527056506
44,31007,45,,0.030160923573675003
45,31007,46,,0.030039639632322285
46,31007,47,,0.03041564981114983
47,31007,48,,0.03127043221527587
48,31007,49,0.059912,0.03257571762794989
49,31007,50,,0.03429420189801588
50,31007,51,,0.03638045275236112
51,31007,52,,0.038781989833541704
52,31007,53,,0.04144051306453829
53,31007,54,,0.04429325129906499
54,31007,55,,0.04727440069316312
55,31007,56,,0.0503166203846583
56,31007,57,0.050912,0.05335255192987905
57,31007,58,,0.05631632854497817
58,31007,59,,0.05914504053979547
59,31007,60,,0.06178012440719545
60,31007,61,,0.06416864481627974
61,31007,62,,0.06626444121475712
62,31007,63,,0.06802911382075985
63,31007,64,,0.06943282741092725
64,31007,65,0.040987,0.07045491541130611
